OTU	M1	M2	M3	M4	M5	M6	M7	M8
Ceratobasidiaceae_sp_2	0	0	0	0	0	107	0	1
Pyronemataceae_sp_3	10	7	0	14	0	0	9	67
Rozellomycota_sp_9	29	0	1	0	0	6	0	64
Fungi_sp_24	4	82	0	3	0	3	4	2
Orbiliales_sp_2	0	12	0	6	0	79	0	1
Fungi_sp_25	34	1	5	11	0	2	45	0
Didymosphaeriaceae_sp_1	0	0	0	0	0	96	1	0
Pseudomicrodochium_suttonii_1	0	0	0	94	0	1	0	1
Pezizomycotina_sp_4	67	0	0	0	0	20	2	6
Mortierellaceae_sp_2	42	3	0	38	0	1	8	2
Pezizomycotina_sp_5	22	0	0	0	0	1	0	71
Trichomeriaceae_sp_3	5	7	0	2	0	1	73	5
Dothidotthiaceae_sp_1	5	0	0	0	0	72	0	7
Pleosporales_sp_5	6	49	0	17	0	4	4	2
Rozellomycota_sp_10	22	10	0	26	0	1	20	2
Sordariales_sp_2	67	0	0	0	0	1	4	5
GS16_sp_2	0	0	0	0	75	0	1	0
Fungi_sp_26	0	0	0	0	20	19	0	36
Fungi_sp_27	0	0	0	2	0	72	0	1
Lasiosphaeriaceae_sp_1	0	0	0	0	0	75	0	0
GS08_sp_1	33	0	0	0	0	9	1	31
Fungi_sp_28	0	0	0	11	0	0	63	0
Sordariales_sp_3	2	7	0	5	0	3	52	5
Fungi_sp_29	0	0	73	0	0	1	0	0
Kickxellomycota_sp_1	0	5	0	0	1	1	0	66
Porotheleaceae_sp_1	0	35	0	0	0	0	34	4
Fungi_sp_30	0	20	0	24	0	1	26	2
Ascomycota_sp_7	64	2	0	0	0	2	0	4
Sordariomycetes_sp_3	0	3	0	14	0	0	51	3
Mortierellales_sp_3	41	0	0	0	1	26	0	3
Fungi_sp_31	0	0	0	0	0	2	64	4
Chaetothyriales_sp_4	4	0	0	0	0	65	1	0
Magnaporthales_sp_1	2	22	1	6	0	16	15	7
Pleosporales_sp_6	19	5	0	6	0	0	36	3
Fungi_sp_32	6	4	12	7	0	8	21	10
Sordariales_sp_4	0	2	0	0	0	0	45	20
Ascomycota_sp_8	1	15	0	4	0	1	44	1
Aspergillaceae_sp_1	1	2	0	0	0	0	60	2
Sordariomycetes_sp_4	0	60	0	0	0	0	3	2
Pezizaceae_sp_4	2	0	0	0	0	0	42	21
Stachybotryaceae_sp_2	1	0	0	0	0	30	0	32
Rozellomycota_sp_11	5	17	0	39	0	1	0	1
Fungi_sp_33	2	21	0	10	0	0	27	3
Fungi_sp_34	1	1	1	1	0	1	56	2
GS37_sp_1	1	0	0	3	0	0	56	3
Rozellomycota_sp_12	0	3	0	4	0	0	54	1
Rozellomycota_sp_13	0	1	0	0	0	56	0	1
Halosphaeriaceae_sp_1	0	0	0	0	0	0	5	53
Chaetothyriales_sp_5	0	0	0	0	0	57	0	0
Pulvinulaceae_sp_1	12	0	0	0	0	2	0	43
Linnemannia_gamsii_1	47	1	0	0	0	0	1	6
Fungi_sp_35	0	51	0	0	0	1	0	3
Orbiliales_sp_3	36	0	0	12	2	1	4	0
Rozellomycota_sp_14	1	0	0	0	0	0	30	24
Herpotrichiellaceae_sp_3	0	0	0	0	0	5	48	2
Magnaporthales_sp_2	0	5	0	3	0	20	26	1
Chytridiomycetes_sp_2	38	0	0	11	0	3	1	1
Herpotrichiellaceae_sp_4	0	0	0	0	0	0	29	25
Rozellomycota_sp_15	3	0	0	0	0	38	0	12
GS11_sp_5	0	0	0	0	53	0	0	0
Fungi_sp_36	0	0	0	1	0	52	0	0
Hypocreales_sp_4	1	0	0	1	0	26	0	25
Serendipitaceae_sp_2	11	18	0	20	0	2	0	1
Ascomycota_sp_9	47	0	0	0	0	0	2	3
Mortierellaceae_sp_3	2	47	0	0	0	2	0	0
Sordariomycetes_sp_5	0	0	0	0	0	0	0	50
Agaricomycetes_sp_3	0	0	0	45	0	0	1	4
Lulworthiaceae_sp_2	0	0	0	0	0	15	0	34
Fungi_sp_37	0	1	0	0	48	0	0	0
Rozellomycota_sp_16	0	1	0	23	1	0	20	3
Fungi_sp_38	0	40	0	3	1	2	1	1
Mortierellales_sp_4	35	1	0	5	0	4	0	1
Glomeraceae_sp_2	0	2	0	0	0	1	40	3
Lasionectriopsis_spinosa_1	0	17	0	4	0	18	6	0
Pseudorhypophila_mangenotii_1	0	1	0	0	0	0	41	3
Ascomycota_sp_10	0	0	0	0	0	42	1	1
Clavulinaceae_sp_2	1	0	0	37	0	0	1	5
Fungi_sp_39	37	1	0	0	0	0	2	3
Fungi_sp_40	0	0	0	0	0	0	0	43
Rozellomycota_sp_17	4	13	0	5	0	0	20	0
Orbiliales_sp_4	2	24	0	0	0	0	16	0
GS11_sp_6	6	0	0	36	0	0	0	0
Orbiliales_sp_5	0	0	0	32	0	1	7	2
Rozellomycota_sp_18	20	12	0	0	0	0	7	3
Chaetothyriales_sp_6	5	8	1	1	0	1	15	9
Ascomycota_sp_11	0	2	0	38	0	0	0	0
Badarisama_sojae_1	1	0	0	1	0	0	37	1
Aphelidiomycota_sp_1	0	3	0	4	0	0	33	0
Neoophiobolus_chromolaenae_1	1	8	0	0	0	0	30	0
Magnaporthales_sp_3	19	11	0	1	0	0	6	2
Fungi_sp_41	0	0	0	0	0	1	11	27
GS11_sp_7	4	0	0	0	0	5	4	25
Fungi_sp_42	0	17	0	14	0	1	2	4
Fungi_sp_43	0	12	0	10	0	0	16	0
Ascomycota_sp_12	8	2	0	0	0	10	0	18
Sordariales_sp_5	0	0	0	0	0	35	2	1
Olpidiaceae_sp_1	0	17	0	11	0	0	9	0
Sordariomycetes_sp_6	0	0	0	0	0	0	36	1
Trechisporales_sp_2	0	0	0	0	0	0	15	22
Fungi_sp_44	0	0	0	0	0	0	11	26
Helotiales_sp_1	0	0	36	0	0	0	1	0
Rozellomycota_sp_19	9	0	0	0	0	0	27	1
Orbiliales_sp_6	35	1	0	0	0	0	0	1
Hypocreales_sp_5	34	1	0	0	0	0	1	0
Pezizomycotina_sp_6	4	11	0	1	0	5	9	6
Glomeraceae_sp_3	0	0	0	0	0	35	0	0
Hypocreales_sp_6	33	0	0	0	0	1	0	1
Fungi_sp_45	2	7	7	9	0	1	7	2
Serendipitaceae_sp_3	0	0	0	1	0	0	0	34
Rozellomycota_sp_20	0	0	0	1	0	0	0	34
Fungi_sp_46	1	15	0	15	0	0	1	3
Mortierellaceae_sp_4	0	0	0	0	0	2	0	32
Pleosporales_sp_7	5	15	1	5	0	3	3	2
Fungi_sp_47	1	1	0	0	0	0	31	1
Fungi_sp_48	1	0	0	0	0	0	28	4
Fungi_sp_49	11	2	0	1	0	0	17	2
Spizellomycetales_sp_1	12	10	0	5	0	0	4	2
Pleosporales_sp_8	0	32	0	0	0	0	0	1
Agaricomycetes_sp_4	0	10	0	7	0	0	14	2
Sordariales_sp_6	1	31	0	0	0	0	0	1
Kiskunsagia_ubrizsyi_8	0	4	0	0	0	0	28	0
Herpotrichiellaceae_sp_5	0	5	0	26	0	0	1	0
Agaricomycetes_sp_5	2	2	0	10	0	0	16	2
Fungi_sp_50	0	0	0	0	0	0	32	0
Ascomycota_sp_13	5	7	2	4	0	0	5	8
Agaricomycetes_sp_6	1	0	0	0	0	3	26	1
Ascomycota_sp_14	0	1	1	7	0	21	0	0
Fungi_sp_51	0	0	0	0	0	1	28	0
Fungi_sp_52	0	0	0	0	0	28	0	1
Fungi_sp_53	0	0	0	0	0	29	0	0
GS11_sp_8	0	18	0	8	0	2	0	1
Fungi_sp_54	0	0	0	0	0	0	27	2
Fungi_sp_55	2	4	0	7	0	4	11	1
Fungi_sp_56	0	0	0	25	0	0	4	0
Trichomeriaceae_sp_4	1	3	0	16	0	2	2	4
Fungi_sp_57	2	0	0	0	0	1	0	25
Rozellomycota_sp_21	26	0	0	2	0	0	0	0
Ascomycota_sp_15	0	28	0	0	0	0	0	0
Fungi_sp_58	0	25	0	0	0	0	0	2
Mortierellales_sp_5	0	16	0	0	0	2	8	1
Rhizophydiaceae_sp_1	20	5	0	1	0	0	0	1
Pezizales_sp_1	26	0	0	0	0	0	0	1
Rozellomycota_sp_22	0	2	0	6	0	0	15	4
Ceratobasidiaceae_sp_3	0	0	2	0	24	0	1	0
Chaetothyriales_sp_7	1	0	0	6	0	0	20	0
Pezizales_sp_2	5	0	0	0	0	0	20	1
Fungi_sp_59	0	0	0	0	0	0	26	0
GS11_sp_9	1	0	0	25	0	0	0	0
Sordariales_sp_7	18	1	0	1	0	2	3	1
Dactylidispora_singaporensis_1	2	7	0	17	0	0	0	0
GS11_sp_10	0	0	0	0	0	23	2	0
Fungi_sp_60	0	1	0	5	0	0	13	6
Rozellomycota_sp_23	0	3	0	19	0	0	0	3
Archaeosporales_sp_1	18	1	0	0	0	1	1	4
Fungi_sp_61	0	0	0	1	0	0	24	0
Branch06_sp_3	3	3	2	10	0	2	2	3
Actinomortierella_wolfii_1	0	0	0	1	0	0	22	2
Aphelidiomycota_sp_2	0	0	0	0	0	24	0	0
Sordariales_sp_8	0	8	0	1	0	11	1	3
Microbotryomycetes_sp_1	4	0	0	0	0	0	0	20
Clavulinaceae_sp_3	2	5	0	7	0	0	4	5
Agaricomycetes_sp_7	0	0	0	0	0	0	10	13
Aphelidiomycota_sp_3	12	11	0	0	0	0	0	0
Kiskunsagia_ubrizsyi_9	0	1	0	1	0	0	21	0
Antidactylaria_ampulliformis_1	1	0	0	0	0	20	0	2
Glomeraceae_sp_4	1	21	1	0	0	0	0	0
Fungi_sp_62	2	17	0	3	0	0	0	0
Lobulomycetales_sp_1	0	0	0	0	0	0	22	0
GS21_sp_1	5	4	0	1	0	0	12	0
Orbiliales_sp_7	0	0	0	0	21	0	0	1
Chaetothyriales_sp_8	0	2	0	18	0	0	2	0
GS11_sp_11	0	0	0	0	0	0	8	14
Scytalidium_sphaerosporum_1	1	16	0	1	0	2	0	1
Glomeraceae_sp_5	0	2	0	2	0	0	15	2
Branch06_sp_4	19	0	0	2	0	0	0	0
Fungi_sp_63	14	2	0	0	0	0	4	1
Fungi_sp_64	0	0	0	21	0	0	0	0
GS11_sp_12	0	0	0	0	0	21	0	0
Bionectriaceae_sp_1	7	0	0	0	0	3	0	10
Glomeraceae_sp_6	0	0	0	0	0	2	0	18
Ceratostomataceae_sp_1	1	2	0	15	0	1	1	0
Fungi_sp_65	0	17	0	0	0	0	0	3
Fungi_sp_66	0	0	0	13	0	2	4	1
Rozellomycota_sp_24	1	1	0	0	0	0	14	4
Lulworthiaceae_sp_3	0	1	0	4	0	0	15	0
zz_no_fungi_1	0	0	0	0	0	20	0	0
Ascomycota_sp_16	0	11	0	3	0	0	4	1
Fungi_sp_67	0	2	0	2	0	12	2	1
Fungi_sp_68	0	17	0	0	0	0	2	0
Ascomycota_sp_17	15	2	0	0	0	0	1	1
Rozellomycota_sp_25	0	0	0	0	0	1	14	4
Rozellomycota_sp_26	2	4	0	0	0	11	2	0
Ascomycota_sp_18	0	1	0	1	0	1	13	2
Ostropomyces_pruinosellus_1	0	0	0	17	0	0	0	1
Glomeraceae_sp_7	3	6	0	5	0	0	4	0
Mortierellaceae_sp_5	3	0	0	1	0	0	14	0
Pleosporaceae_sp_1	17	0	0	0	0	0	1	0
Glomeraceae_sp_8	18	0	0	0	0	0	0	0
Clavariaceae_sp_1	4	0	0	12	0	0	0	2
Trichomeriaceae_sp_5	0	1	0	0	0	2	15	0
Glomeraceae_sp_9	0	0	0	0	0	0	14	4
Pseudogymnoascus_roseus_1	1	0	0	0	6	0	0	11
GS11_sp_13	0	1	0	10	0	0	7	0
Ascomycota_sp_19	2	0	0	0	0	0	13	2
Pseudeurotiaceae_sp_1	0	0	0	0	0	17	0	0
Hypocreales_sp_7	0	0	1	0	0	0	16	0
Ascomycota_sp_20	1	15	0	0	0	0	0	1
Fungi_sp_69	14	0	0	0	0	0	0	3
Glomeraceae_sp_10	0	0	0	0	0	1	14	2
Agaricomycetes_sp_8	0	0	0	0	0	0	17	0
Microascales_sp_1	16	0	0	0	0	0	0	1
GS11_sp_14	0	0	0	0	0	13	3	1
GS11_sp_15	0	4	0	11	0	1	0	0
Fungi_sp_70	0	0	0	0	0	1	15	0
Hermetothecium_mikaniae-micranthae_2	0	0	0	0	14	2	0	0
Fungi_sp_71	6	0	0	0	1	0	0	9
GS11_sp_16	16	0	0	0	0	0	0	0
Fungi_sp_72	11	0	0	0	0	0	0	4
zz_no_fungi_2	0	0	0	1	0	0	13	1
Fungi_sp_73	3	0	0	0	0	8	2	2
Cantharellaceae_sp_1	0	0	0	0	0	0	0	15
Rozellomycota_sp_27	0	0	0	0	15	0	0	0
Fungi_sp_74	0	2	0	1	0	0	12	0
Rozellomycota_sp_28	0	0	0	14	0	0	0	1
Lobulomycetales_sp_2	0	0	0	0	15	0	0	0
Pezizales_sp_3	0	8	0	6	0	0	1	0
Fungi_sp_75	0	0	0	0	0	0	12	3
GS11_sp_17	10	1	0	1	0	3	0	0
Amphobotrys_ricini_1	2	5	0	3	0	0	5	0
Rozellomycota_sp_29	0	0	0	0	0	0	12	2
Bionectriaceae_sp_2	0	3	0	3	0	1	7	0
Fungi_sp_76	0	0	0	0	0	14	0	0
Onygenales_sp_2	0	0	0	0	0	0	12	2
Agaricomycetes_sp_9	0	0	0	0	0	0	3	11
Agaricomycetes_sp_10	1	1	0	7	0	0	5	0
Ascomycota_sp_21	2	0	0	0	0	0	11	1
Fungi_sp_77	0	0	0	0	0	5	9	0
Kiskunsagia_ubrizsyi_10	0	0	0	9	0	0	0	5
GS11_sp_18	0	0	0	0	0	0	0	14
Rozellomycota_sp_30	0	13	0	1	0	0	0	0
Saccharomycetales_sp_1	0	0	0	0	0	0	0	14
Fungi_sp_78	1	5	0	0	0	0	7	1
Fungi_sp_79	0	0	0	0	0	13	0	0
Ascodesmidaceae_sp_1	10	3	0	0	0	0	0	0
GS11_sp_19	0	0	0	0	0	0	2	11
Keratinophyton_hubeiense_1	0	0	0	11	0	0	1	1
Fungi_sp_80	1	2	0	2	0	5	1	2
Fungi_sp_81	0	0	0	0	0	0	6	7
Pezizaceae_sp_5	0	0	0	0	0	0	0	13
Fungi_sp_82	0	1	0	2	0	0	10	0
Plectosphaerellaceae_sp_1	0	0	0	0	0	0	0	13
GS11_sp_20	0	2	0	0	0	0	9	2
GS01_phy_Incertae_sedis_sp_1	0	12	0	0	0	0	1	0
Dipodascaceae_sp_1	0	4	0	7	0	0	0	2
Glomeraceae_sp_11	0	0	0	0	0	0	9	4
Herpotrichiellaceae_sp_6	0	0	0	0	0	0	8	5
Ascomycota_sp_22	1	2	0	0	0	0	9	1
Agaricales_sp_2	0	1	0	1	0	0	11	0
Fungi_sp_83	12	0	0	0	0	0	0	0
Orbiliales_sp_8	0	4	3	1	0	1	1	2
Podosporaceae_sp_1	0	0	0	0	0	1	11	0
Fungi_sp_84	3	2	0	2	0	0	2	3
zz_no_fungi_3	0	0	0	10	0	0	1	1
Xylariales_sp_2	1	0	0	0	0	8	0	3
Rhizophydiomycetes_sp_1	1	2	0	4	0	1	3	1
Ascomycota_sp_23	0	0	0	12	0	0	0	0
Rhizophydiales_sp_3	0	10	0	0	0	0	0	2
Fungi_sp_85	0	1	0	0	0	0	11	0
Agaricomycetes_sp_11	0	11	0	0	0	0	0	0
Aphelidiomycota_sp_4	0	4	0	1	0	0	3	3
Glomeraceae_sp_12	0	2	0	9	0	0	0	0
Rozellomycota_sp_31	0	0	0	3	0	0	8	0
Fungi_sp_86	0	0	0	0	0	0	11	0
GS11_sp_21	0	11	0	0	0	0	0	0
Fungi_sp_87	3	0	0	2	0	0	5	1
Rozellomycota_sp_32	7	4	0	0	0	0	0	0
Podosporaceae_sp_2	0	0	0	0	0	11	0	0
Saccharomycetales_sp_2	1	5	0	5	0	0	0	0
Glomeraceae_sp_13	0	0	0	0	0	0	10	1
Rozellomycota_sp_33	0	4	0	5	0	0	2	0
Glomeraceae_sp_14	0	0	0	0	0	0	10	1
Rozellomycota_sp_34	2	7	0	0	0	0	2	0
Glomeraceae_sp_15	0	9	0	0	0	0	1	1
Rozellomycota_sp_35	0	0	0	0	0	0	11	0
Glomeraceae_sp_16	0	0	0	0	0	11	0	0
Discinellaceae_sp_2	0	0	0	0	0	11	0	0
Fungi_sp_88	1	0	0	0	0	0	10	0
Chytridiomycota_sp_1	0	3	0	1	0	0	7	0
Ascomycota_sp_24	0	0	0	1	0	0	10	0
Glomeraceae_sp_17	0	11	0	0	0	0	0	0
Hygrocybe_fuhreri_1	0	0	0	7	0	0	3	1
Rozellomycota_sp_36	0	1	0	3	0	0	3	4
Sympoventuriaceae_sp_2	0	0	0	2	0	0	2	7
Rozellomycota_sp_37	0	0	0	0	0	0	9	1
Chaetothyriaceae_sp_1	0	0	0	0	0	0	5	5
Microthyriales_sp_1	0	0	0	0	0	0	3	7
Branch06_sp_5	10	0	0	0	0	0	0	0
Glomeraceae_sp_18	9	0	0	0	0	1	0	0
Fungi_sp_89	2	2	0	0	0	0	6	0
Fungi_sp_90	0	0	0	7	0	0	3	0
Sordariales_sp_9	0	0	10	0	0	0	0	0
Ascomycota_sp_25	1	0	0	0	0	9	0	0
GS14_sp_1	6	0	0	0	0	0	4	0
Paragibellulopsis_chrysanthemi_1	1	0	0	1	0	0	8	0
Archaeorhizomyces_sp_7	0	3	0	5	0	0	1	0
Ascomycota_sp_26	9	0	0	0	0	0	0	0
Sebacinales_sp_1	0	0	0	1	0	0	8	0
Agaricomycetes_sp_12	0	0	1	8	0	0	0	0
Ascodesmidaceae_sp_2	0	0	0	0	0	0	2	7
Fungi_sp_91	1	0	0	0	0	0	8	0
Ascomycota_sp_27	0	0	0	0	0	0	5	4
Ascomycota_sp_28	0	0	0	0	0	0	8	1
Linnemannia_gamsii_2	1	8	0	0	0	0	0	0
Fungi_sp_92	0	2	0	0	0	0	3	4
Glomeraceae_sp_19	0	0	0	0	0	0	4	5
GS11_sp_22	0	2	0	5	0	1	0	1
Onygenales_sp_3	7	0	0	2	0	0	0	0
Fungi_sp_93	0	9	0	0	0	0	0	0
Dimorphoma_saxea_1	0	3	0	5	1	0	0	0
Pseudorhypophila_mangenotii_2	0	0	0	1	0	0	8	0
GS11_sp_23	0	6	0	0	0	0	3	0
Rozellomycota_sp_38	0	0	0	0	0	0	0	9
GS19_ord_Incertae_sedis_sp_1	0	0	0	0	0	9	0	0
Fungi_sp_94	0	0	0	0	0	1	7	1
Kiskunsagia_ubrizsyi_11	0	0	0	0	0	0	1	8
Clarireedia_paspali_1	1	8	0	0	0	0	0	0
Keratinophyton_linfenense_1	0	0	0	0	0	0	7	2
Mortierellales_sp_6	0	0	0	1	0	0	8	0
Agaricales_sp_3	0	0	0	0	0	0	5	4
Fungi_sp_95	3	3	0	0	0	0	3	0
Kickxellomycota_sp_2	5	0	0	3	0	0	0	0
GS11_sp_24	0	0	0	0	0	2	0	6
Fungi_sp_96	0	0	0	8	0	0	0	0
Sporormiaceae_sp_3	0	0	0	0	0	0	7	1
Sebacinales_sp_2	8	0	0	0	0	0	0	0
Hygrocybe_purpureofolia_1	0	0	0	0	0	0	6	2
GS11_sp_25	0	0	0	0	0	0	8	0
Trichomeriaceae_sp_6	0	0	0	0	0	0	8	0
Fungi_sp_97	0	0	0	0	0	1	5	2
GS11_sp_26	0	0	0	0	0	0	6	2
Fungi_sp_98	0	7	0	1	0	0	0	0
Sordariales_sp_10	0	0	0	1	0	0	5	2
Pezizaceae_sp_6	2	0	0	0	0	6	0	0
Phaeosphaeriaceae_sp_1	0	0	0	1	0	0	7	0
Pleosporales_sp_9	0	5	0	0	0	0	3	0
Glomeraceae_sp_20	0	0	0	0	0	0	6	2
Onygenales_sp_4	0	0	0	2	0	0	5	1
Ascomycota_sp_29	0	0	0	0	0	1	1	6
Agaricomycetes_sp_13	8	0	0	0	0	0	0	0
Archaeorhizomycetales_sp_1	0	0	0	0	0	1	0	6
GS11_sp_27	0	0	0	6	0	0	0	1
Rozellomycota_sp_39	0	0	0	1	0	0	6	0
Mortierellaceae_sp_6	0	0	0	0	0	6	0	1
Fungi_sp_99	0	0	0	0	0	4	0	3
Fungi_sp_100	0	0	0	0	0	0	5	2
Fungi_sp_101	0	0	0	0	0	0	5	2
Chaetothyriales_sp_9	0	1	0	4	0	0	2	0
Stolonocarpus_sp_2	0	0	0	1	0	0	6	0
Rhizophlyctidales_sp_1	0	0	0	0	0	0	0	7
Chaetothyriales_sp_10	0	7	0	0	0	0	0	0
Pleosporales_sp_10	0	0	0	0	0	0	2	5
Fungi_sp_102	0	0	0	0	1	0	0	6
Oidiodendron_truncatum_1	6	0	0	0	0	0	1	0
Agaricales_sp_4	1	0	0	0	0	0	0	6
Ciliophora_sp_1	0	0	0	2	0	0	4	1
Glomeraceae_sp_21	0	4	0	2	0	0	0	1
Sporormiaceae_sp_4	0	0	0	1	0	0	6	0
Pleosporales_sp_11	2	1	0	0	0	4	0	0
Fungi_sp_103	0	0	0	0	0	0	7	0
Sordariomycetes_sp_7	0	0	0	0	0	0	7	0
Fungi_sp_104	0	6	0	0	1	0	0	0
